order_id,weight (lbs),volume (in3)
21000,718.706,3784.585
21001,1014.125,6748.764
21002,1102.31,87.875
21003,260.0,100700.0
21004,168.0,20700.0
21005,690.046,1611.033
21006,202.825,4994.203
21007,370.0,130036.0
21008,220.0,33660.0
21009,1036.171,9829.865
21010,1296.317,13997.437
21011,262.35,1670.104
21012,535.723,1419.174
21013,1247.815,0.061
21014,220.462,2847.135
21015,220.462,2847.135
21016,220.462,2847.135
21017,425.0,69120.0
21018,40.0,52800.0
21019,475.0,200633.0
21020,900.0,69120.0
21021,110.0,29636.0
21022,440.924,9841.948
21023,264.554,3597.73
21024,1322.772,2811.985
21025,1543.234,33590.041
21026,165.346,1933.24
21027,396.832,2665.528
21028,350.535,5354.854
21029,220.462,2847.135
21030,1455.049,3093.184
21031,1981.953,5680.112
21032,656.977,2982.913
21033,63.934,427.168
21034,242.508,1202.905
21035,3209.927,7689.022
21036,264.554,1394.276
21037,1124.356,2390.187
21038,222.667,1238.909
21039,661.386,2284.738
21040,220.462,2847.135
21041,551.155,2284.738
21042,242.508,1202.905
21043,694.455,1812.412
21044,526.904,2476.719
21045,99.208,1889.302
21046,99.208,1889.302
21047,440.924,4696.406
21048,295.0,51136.0
21049,485.016,2389.089
21050,160.0,19350.0
21051,208.0,14400.0
21052,600.0,46080.0
21053,1020.0,212005.0
21054,150.0,18816.0
21055,286.601,1438.457
21056,482.812,2570.696
21057,1269.861,1968.39
21058,1455.049,3093.184
21059,286.601,1438.457
21060,220.462,2847.135
21061,330.693,1622.75
21062,1455.049,3093.184
21063,352.739,140.599
21064,440.924,6911.332
21065,220.462,2847.135
21066,220.462,2667.358
21067,291.01,1640.325
21068,1719.604,3655.581
21069,421.082,871.422
21070,291.01,1640.325
21071,17.0,35035.0
21072,220.462,2847.135
21073,520.29,1300.909
21074,352.739,929.517
21075,330.693,761.579
21076,381.399,1812.412
21077,1587.326,3374.382
21078,661.386,4647.587
21079,1851.881,10149.509
21080,220.462,2847.135
21081,330.693,761.579
21082,1014.125,3163.483
21083,33.069,7160.676
21084,174.165,1274.181
21085,242.508,1132.605
21086,650.0,8673.0
21087,533.518,1505.096
21088,264.554,742.052
21089,220.462,2847.135
21090,79.0,20880.0
21091,150.0,38400.0
21092,471.789,5147.373
21093,330.0,63248.0
21094,160.0,29920.0
21095,750.0,57600.0
21096,357.0,65000.0
21097,450.0,19360.0
21098,994.284,5290.23
21099,220.462,2847.135
21100,418.878,4415.695
21101,264.554,2178.556
21102,1653.465,3514.981
21103,352.739,949.045
21104,1543.234,28010.008
21105,1014.125,3163.483
21106,264.554,1055.593
21107,1102.31,6458.778
21108,220.462,2847.135
21109,264.554,1055.593
21110,1058.218,6151.217
21111,542.337,1262.647
21112,30.865,243.486
21113,542.337,1262.647
21114,1388.911,2952.584
21115,187.393,973.943
21116,542.337,1262.647
21117,727.525,7768.109
21118,266.759,1332.825
21119,2910.098,42960.884
21120,641.544,3613.84
21121,881.848,2582.535
21122,661.386,4794.532
21123,143.3,3668.518
21124,1653.465,3514.981
21125,282.191,1269.299
21126,458.561,878.745
21127,509.267,1350.217
21128,220.462,2847.135
21129,1261.043,5741.136
21130,370.376,1615.915
21131,881.848,976.384
21132,143.3,3668.518
21133,1322.772,6697.992
21134,992.079,2108.989
21135,705.478,949.045
21136,275.577,305.12
21137,330.693,3745.652
21138,220.462,2847.135
21139,374.785,2899.86
21140,264.554,1318.118
21141,520.29,1300.909
21142,242.508,1132.605
21143,275.577,2440.959
21144,3071.036,17872.582
21145,606.27,3708.733
21146,220.462,2847.135
21147,300.0,135407.0
21148,123.459,1407.457
21149,30.0,20736.0
21150,104.0,29220.0
21151,120.0,22478.0
21152,42.0,4000.0
21153,120.0,22478.0
21154,380.0,43776.0
21155,284.396,922.683
21156,129.0,28100.0
21157,2299.0,330372.0
21158,645.0,122496.0
21159,135.0,25188.0
21160,135.0,25188.0
21161,220.462,2847.135
21162,330.693,2022.945
21163,330.693,4686.642
21164,617.294,1845.365
21165,1785.742,3796.18
21166,244.713,843.596
21167,1056.013,9878.928
21168,4325.464,12685.36
21169,771.617,4686.642
21170,330.693,5061.573
21171,749.571,3374.382
21172,220.462,2847.135
21173,418.878,762.434
21174,1256.633,2671.386
21175,176.37,1201.135
21176,352.739,413.926
21177,1851.881,10149.509
21178,559.973,2331.421
21179,220.462,2847.135
21180,469.584,1982.059
21181,921.531,4328.309
21182,921.531,3919.692
21183,1322.772,2811.985
21184,352.739,413.926
21185,260.145,1804.357
21186,418.878,1382.376
21187,511.472,1734.546
21188,449.742,1530.604
21189,220.462,2847.135
21190,295.419,1247.696
21191,286.601,3514.981
21192,418.878,1382.376
21193,562.178,7732.959
21194,1719.604,3655.581
21195,275.577,1685.788
21196,3086.468,87733.935
21197,250.0,57600.0
21198,150.0,14400.0
21199,440.924,2253.005
21200,359.353,2665.528
21201,200.0,36920.0
21202,250.0,57600.0
21203,198.416,1130.469
21204,220.462,2847.135
21205,319.0,107880.0
21206,537.0,111132.0
21207,504.858,1372.796
21208,780.0,59904.0
21209,224.871,2627.449
21210,80.0,16434.0
21211,125.0,19968.0
21212,467.379,1655.947
21213,212.0,27136.0
21214,242.508,1276.011
21215,105.0,20960.0
21216,268.964,1195.948
21217,330.693,3493.379
21218,220.462,2847.135
21219,663.591,3183.255
21220,220.462,1874.657
21221,279.987,3679.746
21222,330.693,2368.219
21223,1388.911,2952.584
21224,330.693,3512.785
21225,1587.326,3374.382
21226,220.462,1874.657
21227,343.921,2133.398
21228,451.947,2505.34
21229,385.808,1373.04
21230,683.432,18484.164
21231,5467.458,20132.056
21232,213.848,1281.504
21233,643.749,3161.042
21234,220.462,2847.135
21235,354.944,1927.198
21236,1851.881,10149.509
21237,209.439,3849.088
21238,10934.915,7750.534
21239,427.696,2426.191
21240,209.439,3849.088
21241,661.386,3514.981
21242,361.558,939.281
21243,244.713,1770.489
21244,440.924,5694.27
21245,233.69,2811.985
21246,654.772,3242.204
21247,22.046,5061.573
21248,351.0,90240.0
21249,410.059,599.622
21250,220.462,2847.135
21251,33.069,2063.831
21252,385.808,2498.078
21253,482.812,1467.505
21254,1014.125,4723.256
21255,264.554,2372.612
21256,275.577,1779.459
21257,178.574,2090.438
21258,385.808,2360.103
21259,480.0,36864.0
21260,43.0,73395.0
21261,252.0,91656.0
21262,220.0,21692.0
21263,252.0,91656.0
21264,150.0,12000.0
21265,291.01,1464.576
21266,341.716,1876.61
21267,210.0,41160.0
21268,315.261,1419.662
21269,773.822,4243.364
21270,440.924,1650.088
21271,198.416,1874.657
21272,176.37,1874.657
21273,308.647,6310.734
21274,504.858,1581.742
21275,330.693,1898.09
21276,149.914,2148.044
21277,308.647,6310.734
21278,48.502,244.096
21279,330.693,1898.09
21280,242.508,827.973
21281,330.693,2343.321
21282,238.099,1183.377
21283,176.37,4613.413
21284,376.99,1717.947
21285,33.069,468.664
21286,2971.828,11247.94
21287,110.231,1265.393
21288,780.435,5623.97
21289,242.508,1129.066
21290,176.37,1467.81
21291,780.435,8435.955
21292,451.947,2372.612
21293,6816.685,24380.729
21294,723.115,4008.543
21295,1763.696,23726.124
21296,134.482,1757.491
21297,275.577,1493.867
21298,5291.088,10123.146
21299,110.231,1757.491
21300,782.64,5293.708
21301,515.0,234240.0
21302,220.462,2847.135
21303,246.917,448.16
21304,286.601,956.856
21305,1366.864,8787.453
21306,1309.0,277695.0
21307,1108.0,162180.0
21308,75.0,59489.0
21309,1686.534,8032.282
21310,661.386,4349.789
21311,480.0,36864.0
21312,645.0,122496.0
21313,736.0,45792.0
21314,50.0,20400.0
